Elapsed Time (s),n2dRaw,t,n2d
164169.982779264,282725892221236,,
164171.666433573,287730470753420,,
164173.476121187,285698768486134,,
164175.203297138,281923992192787,,
164176.954783917,283617560939695,,
164178.643392324,280428194095375,,
164180.365551949,275339644319335,,
164182.198529243,276783048083949,,
164184.0038445,278685200746693,,
164185.710244179,280429882689732,,
164187.528945446,282643480962755,,
164189.312980413,284481501682174,,
164191.223655462,279341325340563,,
164192.940418005,283478160840206,,
164194.748445511,284441666048392,,
164196.497662544,284856197730704,,
164198.250433207,281747578728558,,
164200.120942593,283073434318584,,
164201.875889301,281723667873682,,
164203.699361086,276272271205102,,
164205.397988319,270642832620932,,
164207.110250473,276276606205331,,
164208.915695429,280978963094751,,
164210.617924929,283403828381683,,
164212.450258732,288349201800583,,
164214.205546379,281817704139215,,
164215.95606184,276024329694725,,
164217.781829357,278388083101347,,
164219.471272707,276285278789332,,
164221.242765665,276275530034485,,
164222.935251713,281784122983903,,
164224.662159443,282714449065058,,
164226.497653723,284409977261679,,
164228.248616695,290756622716190,,
164230.063419342,290999985462952,,
164231.824688435,280603302799222,,
164233.509330511,278949868429395,,
164235.375592709,275631647330427,,
164237.043553114,277358559841218,,
164238.82363534,281694003292209,,
164240.524386406,277497031697217,,
164242.25518012,280925390446342,,
164244.072703362,284520462497902,,
164245.846158266,282903890689191,,
164247.547866344,285642085932502,,
164249.464243889,281153462095574,,
164251.203426123,277786217906600,,
164253.002424479,273121116753974,,
164254.761805296,274129386625307,,
164256.537039518,274034332022696,,
164258.207786799,278632287294972,,
164260.009007692,286655552063198,,
164261.704064846,292309060189090,,
164263.40267539,292507882592635,,
164265.154989719,283463163359735,,
164266.820156336,287400849296739,,
164268.602012873,282473460206332,,
164270.302453041,275051861978274,,
164272.066366196,279659738793658,,
164273.911537647,283957374841137,,
164275.65605545,284130751948950,,
164277.335366964,286038522451167,,
164279.244404316,281508838520091,,
164280.90715766,282217502779412,,
164282.729216576,293091285585294,,
164284.444981813,284939053112680,,
164286.121994972,281881546669041,,
164287.928329945,281690682650217,,
164289.631489754,284236017398062,,
164291.334493399,281290319215825,,
164293.134437561,272319274059061,,
164294.874354601,278736500513352,,
164296.709433794,289656318320269,,
164298.502149105,293187266253038,,
164300.179397106,288329845349711,,
164301.948172092,273878220720857,,
164303.677873373,273311339881561,,
164305.479401112,279053506333735,,
164307.167333841,280600277789289,,
164308.939830303,278686842217970,,
164310.85045743,285093775644823,,
164312.644419432,286699939243828,,
164314.430409908,273306127364882,,
164316.146728516,269308206805261,,
164317.893899441,279198550929422,,
164319.764420748,288249431588540,,
164321.451732159,286991454828389,,
164323.1393044,280861604316055,,
164324.931625366,284754526091538,,
164326.711158752,280371882000362,,
164328.48808074,281159634116351,,
164330.260963917,280041713841977,,
164331.942589045,273598630459032,,
164333.74882865,275295660731491,,
164335.869692802,286726104032297,,
164337.709885359,287716261661170,,
164339.406802654,298291764715775,,
164341.111217022,298811426111057,,
164342.943089485,289508614604678,,
164344.757612467,283240981180654,,
164346.61354661,294604440912920,,
164348.370154858,296029580137666,,
164350.11503911,286513119280758,,
164352.098728895,284335618471830,,
164353.844438076,281507465053278,,
164355.728141308,271551250748320,,
164357.431399584,276344372039942,,
164359.214300156,284034986752432,,
164361.216187477,289282134843798,,
164362.929503679,287340090294948,,
164364.718254805,284672537998018,,
164366.517501116,292196302618713,,
164368.319052696,297717979639850,,
164370.336374283,290485731394273,,
164372.119738102,286417119492041,,
164373.837340355,283997461237567,,
164375.641981363,284293818192744,,
164377.371747255,283110676512349,,
164379.199467421,287233695720492,,
164380.919904709,290155124295490,,
164382.653062344,294385837113982,,
164384.520259142,289880572887403,,
164386.18724823,286426897988414,,
164387.935087204,284536231376325,,
164389.744788408,278966193390925,,
164391.420064211,283623759834742,,
164393.260169029,278297847294883,,
164395.040372372,277471036250639,,
164396.830307961,282491550805810,,
164398.54292345,281334008964378,,
164400.193745852,279917628954464,,
164402.016170502,273243026893463,,
164403.718138456,272834699054104,,
164405.471160412,280320204489290,,
164407.237976551,290080433841068,,
164408.884845972,290858160875108,,
164410.686199427,292310188835455,,
164412.363108873,286964005558428,,
164414.127955675,282020267034731,,
164415.829910755,282277457818271,,
164417.575289249,278610128513994,,
164420.323085785,281936245687549,,
164422.020068407,290423977868688,,
164423.800298214,290436082442143,,
164425.621989489,281152558624368,,
164427.345390081,277956695735954,,
164429.299927235,278066483469793,,
164431.251718044,282650827039666,,
164433.027435303,281487725544705,,
164434.835798025,274965014407862,,
164436.542253733,273457497970738,,
164438.249497891,279798679684600,,
164440.046537161,280126927009916,,
164441.754393578,282917472847538,,
164443.441571951,279472140185293,,
164445.323053122,284655355024695,,
164447.228518248,287788734605131,,
164449.264397383,285602748685395,,
164451.025322437,280667588485730,,
164452.748450041,284283512320224,,
164454.622739792,289375686935200,,
164456.402976513,285927025013615,,
164458.172615051,282663810113189,,
164459.864292145,278757562848631,,
164461.615622997,278742732862628,,
164463.397322893,286380871844460,,
164465.107576132,294317867135124,,
164466.796368361,290132947714867,,
164468.660858154,292975552137482,,
164470.332607269,291240142408631,,
164472.039132357,284050720201252,,
164473.840297461,283875512686835,,
164475.551765442,287387273403910,,
164477.385452747,283155816904304,,
164479.03102541,279926977282761,,
164480.806475878,281760272778172,,
164482.649003744,281753598555589,,
164484.327652693,287692872201297,,
164486.143815756,288740149028289,,
164487.886303902,283040969517945,,
164489.654723883,282210989770373,,
164491.446203232,276962553661516,,
164493.128349304,279910893524302,,
164494.908230782,280701256135414,,
164496.571192026,282560384930522,,
164498.27259469,283848515139515,,
164500.126719713,281106541895958,,
164501.831745625,283685677666739,,
164503.628106594,276889827135576,,
164505.322591066,272052565571850,,
164507.010022879,276108126219460,,
164508.864795685,281421992692384,,
164510.563570976,285032453263759,,
164512.366622925,286319051625846,,
164514.104248762,284684680482080,,
164515.837235928,285579581110692,,
164517.686974049,290747829106204,,
164519.35294652,290905631737707,,
164521.059856176,284944110586485,,
164522.837570429,288112535197918,,
164524.570087433,289294469118514,,
164526.372158766,287451482947694,,
164528.034601212,284276477880392,,
164529.792236328,285007521635909,,
164531.561555386,288421650076092,,
164533.259651661,287583953764062,,
164535.043180227,283674678827760,,
164536.749729395,282004415090898,,
164538.447669506,278232575955638,,
164540.275064945,283404502185522,,
164542.029944181,284389562484879,,
164543.779422045,278926981255238,,
164545.444668055,272083888639603,,
164547.328957558,277085665269113,,
164549.111905575,287891542913103,,
164551.028003931,292195552292999,,
164552.741290808,292901075726488,,
164554.446610928,288609663120105,,
164556.275018215,277987908451685,,
164557.961024523,275468366278721,,
