Parameters:
  Sample : 50
  Solvent : <unspecified>
  Comment : 7:27
  Exc_Wavelength : 376.7 nm
  Exc_Bandpass : 1.8 nm
  Exc_Polarisation : 0.0 °
  Exc_Source : PDL 820
  Exc_Intensity : 94 %
  Exc_Attenuation : open (5)
  Det_Wavelength : 496.0 nm
  Det_Bandpass : 9.4 nm
  Det_Polarisation : 54.7 °
  Det_Lens_Position : 7.7 mm
  Det_Attenuation : 10 %
  Det_Filter : 405 LP (5)
  Det_Grating : 1200gr_500bl (1)
  Detector : UV-VIS [HPD]
  Meas_Time : 0.0 s
  Meas_BinWidth : 128000 ps
  Meas_BaseResolution : 250 ps
  Meas_Stop : 10000 counts
  Meas_PeakCounts : 10000 counts
  Sync_Frequency : 3000 Hz
  Sync_Source : PDL 820
  Base Sync Rate : 40.0 MHz
  Number of Bursts : 50 
  Effective Sync Rate : 3.0 kHz
  Signal_Rate : 940 cps
  Start_Date : 12/11/2023
  Start_Time : 10:20:22
  PhotonCounter : TimeHarp 260 N 1031483 0111-0120-01.21
  EasyTau : 3313
  Signal_TrigLevel : -30 mV
  Signal_TrigEdge : false
  Signal_Offset : 0 ps
  Signal_Enable : true
  Sync_TrigLevel : -80 mV
  Sync_TrigEdge : false
  Sync_Offset : 36000 ps
  Sync_SyncDiv : 1 

Data:
Time [ns]	Intensity [Cnts.]
106367.995613255	2
106495.994259603	4
106624.00018191	3
106751.998828258	2
106879.997474607	0
107007.996120956	3
107135.994767305	2
107263.993413653	4
107391.99933596	6
107519.997982308	4
107647.996628657	0
107775.995275006	1
107903.993921354	1
108031.999843661	3
108159.998490009	2
108287.997136358	2
108415.995782707	2
108543.994429056	3
108672.000351362	1
108799.998997711	3
108927.997644059	1
109055.996290408	4
109183.994936757	7
109311.993583106	4
109439.999505412	1
109567.998151761	1
109695.996798109	4
109823.995444458	5
109951.994090807	2
110080.000013113	4
110207.998659462	1
110335.99730581	3
110463.995952159	5
110591.994598508	5
110719.993244857	2
110847.999167163	0
110975.997813512	3
111103.99645986	3
111231.995106209	2
111359.993752558	0
111487.999674864	1
111615.998321213	3
111743.996967562	3
111871.99561391	1
111999.994260259	4
112128.000182565	1
112255.998828914	3
112383.997475263	2
112511.996121611	0
112639.99476796	3
112767.993414309	0
112895.999336615	4
113023.997982964	2
113151.996629313	2
113279.995275661	1
113407.99392201	2
113535.999844316	3
113663.998490665	2
113791.997137014	1
113919.995783363	2
114047.994429711	2
114176.000352018	0
114303.998998366	0
114431.997644715	1
114559.996291064	2
114687.994937412	5
114815.993583761	1
114943.999506067	2
115071.998152416	3
115199.996798765	2
115327.995445114	0
115455.994091462	4
115584.000013769	2
115711.998660117	5
115839.997306466	4
115967.995952815	4
